test	genome_count	replicate	tool	seconds	ram_kb	input_length	output_length	output_md5sum
invariant site removal	10	1	Core-SNP-Filter	0.57	51304	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
invariant site removal	10	1	snp-sites	0.36	15988	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
invariant site removal	10	1	goalign 1 thread	4.71	362820	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
invariant site removal	10	1	goalign 16 threads	5.04	347368	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
95 core	10	1	Core-SNP-Filter	0.00	2672	1082	954	438a7213be6818b479032ed27b0bbe8c
95 core	10	1	goalign 1 thread	0.00	10224	1082	954	438a7213be6818b479032ed27b0bbe8c
95 core	10	1	goalign 16 threads	0.11	10064	1082	954	438a7213be6818b479032ed27b0bbe8c
95 core	10	1	trimal	0.00	3724	1082	954	438a7213be6818b479032ed27b0bbe8c
invariant site removal	18	1	Core-SNP-Filter	0.98	50240	4809037	1698	3a202304311fa0297796d5c1c7f978f0
invariant site removal	18	1	snp-sites	0.67	15944	4809037	1698	3a202304311fa0297796d5c1c7f978f0
invariant site removal	18	1	goalign 1 thread	6.21	473632	4809037	1698	3a202304311fa0297796d5c1c7f978f0
invariant site removal	18	1	goalign 16 threads	6.45	447336	4809037	1698	3a202304311fa0297796d5c1c7f978f0
95 core	18	1	Core-SNP-Filter	0.00	2696	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
95 core	18	1	goalign 1 thread	0.11	11164	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
95 core	18	1	goalign 16 threads	0.00	11216	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
95 core	18	1	trimal	0.00	3748	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
invariant site removal	32	1	Core-SNP-Filter	1.66	50316	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
invariant site removal	32	1	snp-sites	1.10	15880	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
invariant site removal	32	1	goalign 1 thread	8.94	710612	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
invariant site removal	32	1	goalign 16 threads	8.76	536308	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
95 core	32	1	Core-SNP-Filter	0.00	2584	2568	2221	ce6f1ba08968cadde4e7f22853d5c490
95 core	32	1	goalign 1 thread	0.00	13220	2568	2221	ce6f1ba08968cadde4e7f22853d5c490
95 core	32	1	goalign 16 threads	0.02	12784	2568	2221	ce6f1ba08968cadde4e7f22853d5c490
95 core	32	1	trimal	0.00	4036	2568	2221	79e0634f63c96258385d628fb6165944
invariant site removal	56	1	Core-SNP-Filter	2.84	50376	4809037	3095	d5be966dc42fa945c480722fc95a8b88
invariant site removal	56	1	snp-sites	1.93	16080	4809037	3095	d5be966dc42fa945c480722fc95a8b88
invariant site removal	56	1	goalign 1 thread	12.73	804876	4809037	3095	d5be966dc42fa945c480722fc95a8b88
invariant site removal	56	1	goalign 16 threads	12.93	763476	4809037	3095	d5be966dc42fa945c480722fc95a8b88
95 core	56	1	Core-SNP-Filter	0.00	2572	3095	2517	f8a60d5af49d01f6ba41a5826393db06
95 core	56	1	goalign 1 thread	0.01	13240	3095	2517	f8a60d5af49d01f6ba41a5826393db06
95 core	56	1	goalign 16 threads	0.01	13240	3095	2517	f8a60d5af49d01f6ba41a5826393db06
95 core	56	1	trimal	0.01	4200	3095	2517	dd40d658cd86d95a3501f5d018b4b87a
invariant site removal	100	1	Core-SNP-Filter	4.97	50348	4809037	3844	71a4ae61417b997d305142ef182fcb21
invariant site removal	100	1	snp-sites	3.47	16224	4809037	3844	71a4ae61417b997d305142ef182fcb21
invariant site removal	100	1	goalign 1 thread	20.65	1190284	4809037	3844	71a4ae61417b997d305142ef182fcb21
invariant site removal	100	1	goalign 16 threads	22.22	1122068	4809037	3844	71a4ae61417b997d305142ef182fcb21
95 core	100	1	Core-SNP-Filter	0.00	2704	3844	3272	055cc1a61d617ccae2834dcd4c1da474
95 core	100	1	goalign 1 thread	0.02	15472	3844	3272	055cc1a61d617ccae2834dcd4c1da474
95 core	100	1	goalign 16 threads	0.02	15696	3844	3272	055cc1a61d617ccae2834dcd4c1da474
95 core	100	1	trimal	0.03	4624	3844	3272	e192d7b242d17c4c9fce3f774c70e21e
invariant site removal	180	1	Core-SNP-Filter	8.90	50532	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
invariant site removal	180	1	snp-sites	6.50	16328	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
invariant site removal	180	1	goalign 1 thread	39.07	1777444	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
invariant site removal	180	1	goalign 16 threads	38.30	1784364	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
95 core	180	1	Core-SNP-Filter	0.01	2736	6139	5168	e18ec7bc541fe6350691cd44073231b5
95 core	180	1	goalign 1 thread	0.04	20600	6139	5168	e18ec7bc541fe6350691cd44073231b5
95 core	180	1	goalign 16 threads	0.04	19164	6139	5168	e18ec7bc541fe6350691cd44073231b5
95 core	180	1	trimal	0.09	7136	6139	5168	4248309c6d16906399e55771b99e8236
invariant site removal	320	1	Core-SNP-Filter	15.65	50760	4809037	8048	76654901e7c67f887513487295bf7e3a
invariant site removal	320	1	snp-sites	11.46	18096	4809037	8048	76654901e7c67f887513487295bf7e3a
invariant site removal	320	1	goalign 1 thread	65.08	2912972	4809037	8048	76654901e7c67f887513487295bf7e3a
invariant site removal	320	1	goalign 16 threads	72.33	2946876	4809037	8048	76654901e7c67f887513487295bf7e3a
95 core	320	1	Core-SNP-Filter	0.03	2692	8048	6688	b8b8d20dfbb15e31e18e630938e5bcb9
95 core	320	1	goalign 1 thread	0.10	27516	8048	6688	b8b8d20dfbb15e31e18e630938e5bcb9
95 core	320	1	goalign 16 threads	0.11	29464	8048	6688	b8b8d20dfbb15e31e18e630938e5bcb9
95 core	320	1	trimal	0.20	10552	8048	6688	7c4d019b311f83a9b4d9293af401758a
invariant site removal	560	1	Core-SNP-Filter	27.25	50632	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
invariant site removal	560	1	snp-sites	19.42	23800	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
invariant site removal	560	1	goalign 1 thread	132.12	4885252	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
invariant site removal	560	1	goalign 16 threads	124.94	4915824	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
95 core	560	1	Core-SNP-Filter	0.10	2688	14655	13055	907bf509f0e0aaa8817ede8e54538031
95 core	560	1	goalign 1 thread	0.32	45312	14655	13055	907bf509f0e0aaa8817ede8e54538031
95 core	560	1	goalign 16 threads	0.31	55832	14655	13055	907bf509f0e0aaa8817ede8e54538031
95 core	560	1	trimal	0.63	27208	14655	13055	4098ac228356b616467a9753e1030402
invariant site removal	1000	1	Core-SNP-Filter	48.46	52400	4809037	26123	116520f8d6297c405e49b72915620b20
invariant site removal	1000	1	snp-sites	36.47	39568	4809037	26123	116520f8d6297c405e49b72915620b20
invariant site removal	1000	1	goalign 1 thread	236.91	8028540	4809037	26123	116520f8d6297c405e49b72915620b20
invariant site removal	1000	1	goalign 16 threads	245.55	8361640	4809037	26123	116520f8d6297c405e49b72915620b20
95 core	1000	1	Core-SNP-Filter	0.29	2624	26123	23679	3f0ccd0908ec02052e35fb335bcb9ab8
95 core	1000	1	goalign 1 thread	0.96	171700	26123	23679	3f0ccd0908ec02052e35fb335bcb9ab8
95 core	1000	1	goalign 16 threads	0.94	162616	26123	23679	3f0ccd0908ec02052e35fb335bcb9ab8
95 core	1000	1	trimal	2.03	82072	26123	23679	ef5b537ec930a220415ed7bd60af28be
invariant site removal	1800	1	Core-SNP-Filter	87.34	50408	4809037	28785	bdefcb13ac59b22a276da2614ebe0b1d
invariant site removal	1800	1	snp-sites	66.20	66432	4809037	28785	bdefcb13ac59b22a276da2614ebe0b1d
invariant site removal	1800	1	goalign 1 thread	462.28	15076384	4809037	28785	bdefcb13ac59b22a276da2614ebe0b1d
invariant site removal	1800	1	goalign 16 threads	465.10	14936932	4809037	28785	bdefcb13ac59b22a276da2614ebe0b1d
95 core	1800	1	Core-SNP-Filter	0.60	2780	28785	26409	383dca7de100c82c895c2af15595db13
95 core	1800	1	goalign 1 thread	2.16	284684	28785	26409	383dca7de100c82c895c2af15595db13
95 core	1800	1	goalign 16 threads	2.27	312968	28785	26409	383dca7de100c82c895c2af15595db13
95 core	1800	1	trimal	4.05	155476	28785	26409	0a6d74d18a27ad805b3314bd5700abd3
invariant site removal	3200	1	Core-SNP-Filter	155.27	52244	4809037	39768	9e7695cea5ba11409cbcadc2517b5c4e
invariant site removal	3200	1	snp-sites	110.66	145332	4809037	39768	9e7695cea5ba11409cbcadc2517b5c4e
invariant site removal	3200	1	goalign 1 thread	1173.28	26842824	4809037	39768	9e7695cea5ba11409cbcadc2517b5c4e
invariant site removal	3200	1	goalign 16 threads	1196.06	26530896	4809037	39768	9e7695cea5ba11409cbcadc2517b5c4e
95 core	3200	1	Core-SNP-Filter	1.57	3012	39768	36646	43eeb222e0fa10d3310d5bbde923ab2c
95 core	3200	1	goalign 1 thread	6.64	684192	39768	36646	43eeb222e0fa10d3310d5bbde923ab2c
95 core	3200	1	goalign 16 threads	8.55	658268	39768	36646	43eeb222e0fa10d3310d5bbde923ab2c
95 core	3200	1	trimal	10.63	409996	39768	36646	c65720a3ae9281d5dbe9f627e4b83329
invariant site removal	5600	1	Core-SNP-Filter	272.46	50868	4809037	53786	950810bd939d03607f7e68b99fe1b151
invariant site removal	5600	1	snp-sites	193.95	318212	4809037	53786	950810bd939d03607f7e68b99fe1b151
invariant site removal	5600	1	goalign 1 thread	3858.86	43529256	4809037	53786	950810bd939d03607f7e68b99fe1b151
invariant site removal	5600	1	goalign 16 threads	4037.44	46871020	4809037	53786	950810bd939d03607f7e68b99fe1b151
95 core	5600	1	Core-SNP-Filter	3.39	3132	53786	50163	4508f91d1905c95bdac58cb70267f0bf
95 core	5600	1	goalign 1 thread	26.45	2012984	53786	50163	4508f91d1905c95bdac58cb70267f0bf
95 core	5600	1	goalign 16 threads	28.18	1967132	53786	50163	4508f91d1905c95bdac58cb70267f0bf
95 core	5600	1	trimal	25.88	903548	53786	50163	ccbe2e336e37aca797015bcab2bb7068
invariant site removal	10000	1	Core-SNP-Filter	514.23	50768	4809037	68963	c089e22a9751869f7814920c161d092e
invariant site removal	10000	1	snp-sites	345.62	708988	4809037	68963	c089e22a9751869f7814920c161d092e
invariant site removal	10000	1	goalign 1 thread	8802.42	81712128	4809037	68963	c089e22a9751869f7814920c161d092e
invariant site removal	10000	1	goalign 16 threads	10503.34	83813624	4809037	68963	c089e22a9751869f7814920c161d092e
95 core	10000	1	Core-SNP-Filter	7.99	3152	68963	64995	98ec4e494f111bde5fd6b27373a1afe4
95 core	10000	1	goalign 1 thread	62.20	4200768	68963	64995	98ec4e494f111bde5fd6b27373a1afe4
95 core	10000	1	goalign 16 threads	65.06	4281568	68963	64995	98ec4e494f111bde5fd6b27373a1afe4
95 core	10000	1	trimal	61.94	2268872	68963	64995	e6598ca75fdcf85d05b1acf4d03208e1
invariant site removal	10	2	Core-SNP-Filter	0.59	50324	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
invariant site removal	10	2	snp-sites	0.41	15976	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
invariant site removal	10	2	goalign 1 thread	4.77	436592	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
invariant site removal	10	2	goalign 16 threads	4.92	419348	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
95 core	10	2	Core-SNP-Filter	0.00	2640	1082	954	438a7213be6818b479032ed27b0bbe8c
95 core	10	2	goalign 1 thread	0.00	11104	1082	954	438a7213be6818b479032ed27b0bbe8c
95 core	10	2	goalign 16 threads	0.00	9836	1082	954	438a7213be6818b479032ed27b0bbe8c
95 core	10	2	trimal	0.00	3556	1082	954	438a7213be6818b479032ed27b0bbe8c
invariant site removal	18	2	Core-SNP-Filter	0.97	52228	4809037	1698	3a202304311fa0297796d5c1c7f978f0
invariant site removal	18	2	snp-sites	0.67	15868	4809037	1698	3a202304311fa0297796d5c1c7f978f0
invariant site removal	18	2	goalign 1 thread	6.24	488468	4809037	1698	3a202304311fa0297796d5c1c7f978f0
invariant site removal	18	2	goalign 16 threads	6.35	477316	4809037	1698	3a202304311fa0297796d5c1c7f978f0
95 core	18	2	Core-SNP-Filter	0.00	2636	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
95 core	18	2	goalign 1 thread	0.00	10432	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
95 core	18	2	goalign 16 threads	0.00	13640	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
95 core	18	2	trimal	0.00	3752	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
invariant site removal	32	2	Core-SNP-Filter	1.69	51216	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
invariant site removal	32	2	snp-sites	1.13	15936	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
invariant site removal	32	2	goalign 1 thread	8.83	601636	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
invariant site removal	32	2	goalign 16 threads	8.92	525964	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
95 core	32	2	Core-SNP-Filter	0.00	2620	2568	2221	ce6f1ba08968cadde4e7f22853d5c490
95 core	32	2	goalign 1 thread	0.00	13228	2568	2221	ce6f1ba08968cadde4e7f22853d5c490
95 core	32	2	goalign 16 threads	0.01	11820	2568	2221	ce6f1ba08968cadde4e7f22853d5c490
95 core	32	2	trimal	0.00	3828	2568	2221	79e0634f63c96258385d628fb6165944
invariant site removal	56	2	Core-SNP-Filter	2.82	51956	4809037	3095	d5be966dc42fa945c480722fc95a8b88
invariant site removal	56	2	snp-sites	2.04	16216	4809037	3095	d5be966dc42fa945c480722fc95a8b88
invariant site removal	56	2	goalign 1 thread	13.52	867208	4809037	3095	d5be966dc42fa945c480722fc95a8b88
invariant site removal	56	2	goalign 16 threads	13.65	764128	4809037	3095	d5be966dc42fa945c480722fc95a8b88
95 core	56	2	Core-SNP-Filter	0.01	2672	3095	2517	f8a60d5af49d01f6ba41a5826393db06
95 core	56	2	goalign 1 thread	0.01	12088	3095	2517	f8a60d5af49d01f6ba41a5826393db06
95 core	56	2	goalign 16 threads	0.01	13780	3095	2517	f8a60d5af49d01f6ba41a5826393db06
95 core	56	2	trimal	0.01	4200	3095	2517	dd40d658cd86d95a3501f5d018b4b87a
invariant site removal	100	2	Core-SNP-Filter	4.95	51740	4809037	3844	71a4ae61417b997d305142ef182fcb21
invariant site removal	100	2	snp-sites	3.30	16268	4809037	3844	71a4ae61417b997d305142ef182fcb21
invariant site removal	100	2	goalign 1 thread	20.92	1212700	4809037	3844	71a4ae61417b997d305142ef182fcb21
invariant site removal	100	2	goalign 16 threads	22.64	1123216	4809037	3844	71a4ae61417b997d305142ef182fcb21
95 core	100	2	Core-SNP-Filter	0.00	2712	3844	3272	055cc1a61d617ccae2834dcd4c1da474
95 core	100	2	goalign 1 thread	0.02	16232	3844	3272	055cc1a61d617ccae2834dcd4c1da474
95 core	100	2	goalign 16 threads	0.02	15136	3844	3272	055cc1a61d617ccae2834dcd4c1da474
95 core	100	2	trimal	0.03	4524	3844	3272	e192d7b242d17c4c9fce3f774c70e21e
invariant site removal	180	2	Core-SNP-Filter	8.80	52204	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
invariant site removal	180	2	snp-sites	6.51	16120	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
invariant site removal	180	2	goalign 1 thread	37.57	1774704	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
invariant site removal	180	2	goalign 16 threads	37.15	1781344	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
95 core	180	2	Core-SNP-Filter	0.06	2648	6139	5168	e18ec7bc541fe6350691cd44073231b5
95 core	180	2	goalign 1 thread	0.05	19972	6139	5168	e18ec7bc541fe6350691cd44073231b5
95 core	180	2	goalign 16 threads	0.04	20688	6139	5168	e18ec7bc541fe6350691cd44073231b5
95 core	180	2	trimal	0.08	7096	6139	5168	4248309c6d16906399e55771b99e8236
invariant site removal	320	2	Core-SNP-Filter	15.64	53056	4809037	8048	76654901e7c67f887513487295bf7e3a
invariant site removal	320	2	snp-sites	11.39	17736	4809037	8048	76654901e7c67f887513487295bf7e3a
invariant site removal	320	2	goalign 1 thread	72.01	2924796	4809037	8048	76654901e7c67f887513487295bf7e3a
invariant site removal	320	2	goalign 16 threads	69.50	2957220	4809037	8048	76654901e7c67f887513487295bf7e3a
95 core	320	2	Core-SNP-Filter	0.03	2660	8048	6688	b8b8d20dfbb15e31e18e630938e5bcb9
95 core	320	2	goalign 1 thread	0.11	25588	8048	6688	b8b8d20dfbb15e31e18e630938e5bcb9
95 core	320	2	goalign 16 threads	0.10	32800	8048	6688	b8b8d20dfbb15e31e18e630938e5bcb9
95 core	320	2	trimal	0.20	10608	8048	6688	7c4d019b311f83a9b4d9293af401758a
invariant site removal	560	2	Core-SNP-Filter	27.34	50668	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
invariant site removal	560	2	snp-sites	19.67	22128	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
invariant site removal	560	2	goalign 1 thread	136.10	4884200	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
invariant site removal	560	2	goalign 16 threads	131.45	4920740	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
95 core	560	2	Core-SNP-Filter	0.09	2740	14655	13055	907bf509f0e0aaa8817ede8e54538031
95 core	560	2	goalign 1 thread	0.32	43624	14655	13055	907bf509f0e0aaa8817ede8e54538031
95 core	560	2	goalign 16 threads	0.30	58592	14655	13055	907bf509f0e0aaa8817ede8e54538031
95 core	560	2	trimal	0.63	27204	14655	13055	4098ac228356b616467a9753e1030402
invariant site removal	1000	2	Core-SNP-Filter	48.67	52100	4809037	26123	116520f8d6297c405e49b72915620b20
invariant site removal	1000	2	snp-sites	36.40	43020	4809037	26123	116520f8d6297c405e49b72915620b20
invariant site removal	1000	2	goalign 1 thread	244.81	8059672	4809037	26123	116520f8d6297c405e49b72915620b20
invariant site removal	1000	2	goalign 16 threads	252.21	8376744	4809037	26123	116520f8d6297c405e49b72915620b20
95 core	1000	2	Core-SNP-Filter	0.29	2588	26123	23679	3f0ccd0908ec02052e35fb335bcb9ab8
95 core	1000	2	goalign 1 thread	0.95	172932	26123	23679	3f0ccd0908ec02052e35fb335bcb9ab8
95 core	1000	2	goalign 16 threads	0.93	162628	26123	23679	3f0ccd0908ec02052e35fb335bcb9ab8
95 core	1000	2	trimal	1.99	82112	26123	23679	ef5b537ec930a220415ed7bd60af28be
invariant site removal	1800	2	Core-SNP-Filter	88.72	52948	4809037	28785	bdefcb13ac59b22a276da2614ebe0b1d
invariant site removal	1800	2	snp-sites	66.05	68484	4809037	28785	bdefcb13ac59b22a276da2614ebe0b1d
invariant site removal	1800	2	goalign 1 thread	477.82	14298244	4809037	28785	bdefcb13ac59b22a276da2614ebe0b1d
invariant site removal	1800	2	goalign 16 threads	772.35	14990844	4809037	28785	bdefcb13ac59b22a276da2614ebe0b1d
95 core	1800	2	Core-SNP-Filter	0.58	2744	28785	26409	383dca7de100c82c895c2af15595db13
95 core	1800	2	goalign 1 thread	2.15	294352	28785	26409	383dca7de100c82c895c2af15595db13
95 core	1800	2	goalign 16 threads	3.85	308976	28785	26409	383dca7de100c82c895c2af15595db13
95 core	1800	2	trimal	4.03	155632	28785	26409	0a6d74d18a27ad805b3314bd5700abd3
invariant site removal	3200	2	Core-SNP-Filter	156.53	50664	4809037	39768	9e7695cea5ba11409cbcadc2517b5c4e
invariant site removal	3200	2	snp-sites	110.79	148808	4809037	39768	9e7695cea5ba11409cbcadc2517b5c4e
invariant site removal	3200	2	goalign 1 thread	1115.58	26243620	4809037	39768	9e7695cea5ba11409cbcadc2517b5c4e
invariant site removal	3200	2	goalign 16 threads	1377.47	26287224	4809037	39768	9e7695cea5ba11409cbcadc2517b5c4e
95 core	3200	2	Core-SNP-Filter	1.47	2988	39768	36646	43eeb222e0fa10d3310d5bbde923ab2c
95 core	3200	2	goalign 1 thread	10.55	680224	39768	36646	43eeb222e0fa10d3310d5bbde923ab2c
95 core	3200	2	goalign 16 threads	8.88	653128	39768	36646	43eeb222e0fa10d3310d5bbde923ab2c
95 core	3200	2	trimal	10.62	410080	39768	36646	c65720a3ae9281d5dbe9f627e4b83329
invariant site removal	5600	2	Core-SNP-Filter	305.38	53208	4809037	53786	950810bd939d03607f7e68b99fe1b151
invariant site removal	5600	2	snp-sites	200.12	321804	4809037	53786	950810bd939d03607f7e68b99fe1b151
invariant site removal	5600	2	goalign 1 thread	3857.86	44009136	4809037	53786	950810bd939d03607f7e68b99fe1b151
invariant site removal	5600	2	goalign 16 threads	4837.19	46785196	4809037	53786	950810bd939d03607f7e68b99fe1b151
95 core	5600	2	Core-SNP-Filter	4.35	3176	53786	50163	4508f91d1905c95bdac58cb70267f0bf
95 core	5600	2	goalign 1 thread	26.29	1974768	53786	50163	4508f91d1905c95bdac58cb70267f0bf
95 core	5600	2	goalign 16 threads	26.32	1974536	53786	50163	4508f91d1905c95bdac58cb70267f0bf
95 core	5600	2	trimal	25.75	903556	53786	50163	ccbe2e336e37aca797015bcab2bb7068
invariant site removal	10000	2	Core-SNP-Filter	531.78	51060	4809037	68963	c089e22a9751869f7814920c161d092e
invariant site removal	10000	2	snp-sites	355.56	709872	4809037	68963	c089e22a9751869f7814920c161d092e
invariant site removal	10000	2	goalign 1 thread	10050.91	77796268	4809037	68963	c089e22a9751869f7814920c161d092e
invariant site removal	10000	2	goalign 16 threads	9519.07	83937380	4809037	68963	c089e22a9751869f7814920c161d092e
95 core	10000	2	Core-SNP-Filter	12.14	3168	68963	64995	98ec4e494f111bde5fd6b27373a1afe4
95 core	10000	2	goalign 1 thread	68.72	4257064	68963	64995	98ec4e494f111bde5fd6b27373a1afe4
95 core	10000	2	goalign 16 threads	66.84	3606496	68963	64995	98ec4e494f111bde5fd6b27373a1afe4
95 core	10000	2	trimal	62.02	2268948	68963	64995	e6598ca75fdcf85d05b1acf4d03208e1
invariant site removal	10	3	Core-SNP-Filter	0.67	51752	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
invariant site removal	10	3	snp-sites	0.37	15852	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
invariant site removal	10	3	goalign 1 thread	4.82	340000	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
95 core	10	3	Core-SNP-Filter	0.00	2732	1082	954	438a7213be6818b479032ed27b0bbe8c
95 core	10	3	goalign 1 thread	0.00	10212	1082	954	438a7213be6818b479032ed27b0bbe8c
95 core	10	3	trimal	0.00	3624	1082	954	438a7213be6818b479032ed27b0bbe8c
invariant site removal	18	3	Core-SNP-Filter	0.96	51772	4809037	1698	3a202304311fa0297796d5c1c7f978f0
invariant site removal	18	3	snp-sites	0.63	15944	4809037	1698	3a202304311fa0297796d5c1c7f978f0
invariant site removal	18	3	goalign 1 thread	6.27	454652	4809037	1698	3a202304311fa0297796d5c1c7f978f0
95 core	18	3	Core-SNP-Filter	0.00	2692	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
95 core	18	3	goalign 1 thread	0.00	13372	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
95 core	18	3	trimal	0.00	3684	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
invariant site removal	32	3	Core-SNP-Filter	1.66	51892	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
invariant site removal	32	3	snp-sites	1.12	15928	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
