test	genome_count	replicate	tool	seconds	ram_kb	input_length	output_length	output_md5sum
invariant site removal	32	3	goalign 1 thread	9.05	632756	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
95 core	32	3	Core-SNP-Filter	0.00	2632	2568	2221	ce6f1ba08968cadde4e7f22853d5c490
95 core	32	3	goalign 1 thread	0.00	11728	2568	2221	ce6f1ba08968cadde4e7f22853d5c490
95 core	32	3	trimal	0.00	3940	2568	2221	79e0634f63c96258385d628fb6165944
invariant site removal	56	3	Core-SNP-Filter	2.85	50284	4809037	3095	d5be966dc42fa945c480722fc95a8b88
invariant site removal	56	3	snp-sites	1.96	17688	4809037	3095	d5be966dc42fa945c480722fc95a8b88
invariant site removal	56	3	goalign 1 thread	12.81	866388	4809037	3095	d5be966dc42fa945c480722fc95a8b88
95 core	56	3	Core-SNP-Filter	0.00	2636	3095	2517	f8a60d5af49d01f6ba41a5826393db06
95 core	56	3	goalign 1 thread	0.01	12104	3095	2517	f8a60d5af49d01f6ba41a5826393db06
95 core	56	3	trimal	0.01	4256	3095	2517	dd40d658cd86d95a3501f5d018b4b87a
invariant site removal	100	3	Core-SNP-Filter	4.99	51220	4809037	3844	71a4ae61417b997d305142ef182fcb21
invariant site removal	100	3	snp-sites	3.72	16288	4809037	3844	71a4ae61417b997d305142ef182fcb21
invariant site removal	100	3	goalign 1 thread	21.38	1210840	4809037	3844	71a4ae61417b997d305142ef182fcb21
95 core	100	3	Core-SNP-Filter	0.12	2656	3844	3272	055cc1a61d617ccae2834dcd4c1da474
95 core	100	3	goalign 1 thread	0.02	16484	3844	3272	055cc1a61d617ccae2834dcd4c1da474
95 core	100	3	trimal	0.03	4456	3844	3272	e192d7b242d17c4c9fce3f774c70e21e
invariant site removal	180	3	Core-SNP-Filter	8.80	53156	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
invariant site removal	180	3	snp-sites	6.02	18436	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
invariant site removal	180	3	goalign 1 thread	38.62	1786848	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
95 core	180	3	Core-SNP-Filter	0.01	2656	6139	5168	e18ec7bc541fe6350691cd44073231b5
95 core	180	3	goalign 1 thread	0.04	22632	6139	5168	e18ec7bc541fe6350691cd44073231b5
95 core	180	3	trimal	0.08	7096	6139	5168	4248309c6d16906399e55771b99e8236
invariant site removal	320	3	Core-SNP-Filter	15.52	50528	4809037	8048	76654901e7c67f887513487295bf7e3a
invariant site removal	320	3	snp-sites	11.21	16752	4809037	8048	76654901e7c67f887513487295bf7e3a
invariant site removal	320	3	goalign 1 thread	72.77	2962504	4809037	8048	76654901e7c67f887513487295bf7e3a
95 core	320	3	Core-SNP-Filter	0.07	2700	8048	6688	b8b8d20dfbb15e31e18e630938e5bcb9
95 core	320	3	goalign 1 thread	0.10	29608	8048	6688	b8b8d20dfbb15e31e18e630938e5bcb9
95 core	320	3	trimal	0.19	10668	8048	6688	7c4d019b311f83a9b4d9293af401758a
invariant site removal	560	3	Core-SNP-Filter	27.93	50612	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
invariant site removal	560	3	snp-sites	20.10	20856	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
invariant site removal	560	3	goalign 1 thread	142.25	4884556	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
95 core	560	3	Core-SNP-Filter	0.25	2808	14655	13055	907bf509f0e0aaa8817ede8e54538031
95 core	560	3	goalign 1 thread	0.29	62612	14655	13055	907bf509f0e0aaa8817ede8e54538031
95 core	560	3	trimal	0.63	27240	14655	13055	4098ac228356b616467a9753e1030402
invariant site removal	1000	3	Core-SNP-Filter	56.62	52816	4809037	26123	116520f8d6297c405e49b72915620b20
invariant site removal	1000	3	snp-sites	36.12	42944	4809037	26123	116520f8d6297c405e49b72915620b20
invariant site removal	1000	3	goalign 1 thread	505.50	7810124	4809037	26123	116520f8d6297c405e49b72915620b20
95 core	1000	3	Core-SNP-Filter	0.45	2748	26123	23679	3f0ccd0908ec02052e35fb335bcb9ab8
95 core	1000	3	goalign 1 thread	0.99	164192	26123	23679	3f0ccd0908ec02052e35fb335bcb9ab8
95 core	1000	3	trimal	2.07	81960	26123	23679	ef5b537ec930a220415ed7bd60af28be
invariant site removal	1800	3	Core-SNP-Filter	111.91	52040	4809037	28785	bdefcb13ac59b22a276da2614ebe0b1d
invariant site removal	1800	3	snp-sites	65.05	68404	4809037	28785	bdefcb13ac59b22a276da2614ebe0b1d
invariant site removal	1800	3	goalign 1 thread	815.66	14710716	4809037	28785	bdefcb13ac59b22a276da2614ebe0b1d
95 core	1800	3	Core-SNP-Filter	0.93	2684	28785	26409	383dca7de100c82c895c2af15595db13
95 core	1800	3	goalign 1 thread	2.18	284668	28785	26409	383dca7de100c82c895c2af15595db13
95 core	1800	3	trimal	4.01	155540	28785	26409	0a6d74d18a27ad805b3314bd5700abd3
invariant site removal	3200	3	Core-SNP-Filter	185.66	51048	4809037	39768	9e7695cea5ba11409cbcadc2517b5c4e
invariant site removal	3200	3	snp-sites	110.38	143248	4809037	39768	9e7695cea5ba11409cbcadc2517b5c4e
invariant site removal	3200	3	goalign 1 thread	1418.30	25409032	4809037	39768	9e7695cea5ba11409cbcadc2517b5c4e
95 core	3200	3	Core-SNP-Filter	2.51	3028	39768	36646	43eeb222e0fa10d3310d5bbde923ab2c
95 core	3200	3	goalign 1 thread	10.60	663708	39768	36646	43eeb222e0fa10d3310d5bbde923ab2c
95 core	3200	3	trimal	10.53	410096	39768	36646	c65720a3ae9281d5dbe9f627e4b83329
invariant site removal	5600	3	Core-SNP-Filter	343.09	51640	4809037	53786	950810bd939d03607f7e68b99fe1b151
invariant site removal	5600	3	snp-sites	194.85	320832	4809037	53786	950810bd939d03607f7e68b99fe1b151
invariant site removal	5600	3	goalign 1 thread	3985.14	43567660	4809037	53786	950810bd939d03607f7e68b99fe1b151
95 core	5600	3	Core-SNP-Filter	4.53	3200	53786	50163	4508f91d1905c95bdac58cb70267f0bf
95 core	5600	3	goalign 1 thread	26.22	2054476	53786	50163	4508f91d1905c95bdac58cb70267f0bf
95 core	5600	3	trimal	26.34	903456	53786	50163	ccbe2e336e37aca797015bcab2bb7068
invariant site removal	10000	3	Core-SNP-Filter	669.65	50684	4809037	68963	c089e22a9751869f7814920c161d092e
invariant site removal	10000	3	snp-sites	352.74	708892	4809037	68963	c089e22a9751869f7814920c161d092e
invariant site removal	10000	3	goalign 1 thread	8636.97	79498428	4809037	68963	c089e22a9751869f7814920c161d092e
95 core	10000	3	Core-SNP-Filter	12.16	3296	68963	64995	98ec4e494f111bde5fd6b27373a1afe4
95 core	10000	3	goalign 1 thread	68.41	4323916	68963	64995	98ec4e494f111bde5fd6b27373a1afe4
95 core	10000	3	trimal	61.64	2268724	68963	64995	e6598ca75fdcf85d05b1acf4d03208e1
invariant site removal	10	4	Core-SNP-Filter	0.58	50328	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
invariant site removal	10	4	snp-sites	0.38	16100	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
invariant site removal	10	4	goalign 1 thread	4.94	358784	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
95 core	10	4	Core-SNP-Filter	0.00	2640	1082	954	438a7213be6818b479032ed27b0bbe8c
95 core	10	4	goalign 1 thread	0.00	11104	1082	954	438a7213be6818b479032ed27b0bbe8c
95 core	10	4	trimal	0.04	3760	1082	954	438a7213be6818b479032ed27b0bbe8c
invariant site removal	18	4	Core-SNP-Filter	0.95	51948	4809037	1698	3a202304311fa0297796d5c1c7f978f0
invariant site removal	18	4	snp-sites	0.65	17860	4809037	1698	3a202304311fa0297796d5c1c7f978f0
invariant site removal	18	4	goalign 1 thread	6.26	473688	4809037	1698	3a202304311fa0297796d5c1c7f978f0
95 core	18	4	Core-SNP-Filter	0.00	2652	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
95 core	18	4	goalign 1 thread	0.00	10432	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
95 core	18	4	trimal	0.03	3748	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
invariant site removal	32	4	Core-SNP-Filter	1.64	53020	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
invariant site removal	32	4	snp-sites	1.11	15880	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
invariant site removal	32	4	goalign 1 thread	8.58	603672	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
95 core	32	4	Core-SNP-Filter	0.00	2664	2568	2221	ce6f1ba08968cadde4e7f22853d5c490
95 core	32	4	goalign 1 thread	0.01	11916	2568	2221	ce6f1ba08968cadde4e7f22853d5c490
95 core	32	4	trimal	0.05	3956	2568	2221	79e0634f63c96258385d628fb6165944
invariant site removal	56	4	Core-SNP-Filter	2.79	50268	4809037	3095	d5be966dc42fa945c480722fc95a8b88
invariant site removal	56	4	snp-sites	2.12	16208	4809037	3095	d5be966dc42fa945c480722fc95a8b88
invariant site removal	56	4	goalign 1 thread	13.04	866368	4809037	3095	d5be966dc42fa945c480722fc95a8b88
95 core	56	4	Core-SNP-Filter	0.02	2664	3095	2517	f8a60d5af49d01f6ba41a5826393db06
95 core	56	4	goalign 1 thread	0.01	12264	3095	2517	f8a60d5af49d01f6ba41a5826393db06
95 core	56	4	trimal	0.06	4244	3095	2517	dd40d658cd86d95a3501f5d018b4b87a
invariant site removal	100	4	Core-SNP-Filter	4.92	53240	4809037	3844	71a4ae61417b997d305142ef182fcb21
invariant site removal	100	4	snp-sites	3.39	18040	4809037	3844	71a4ae61417b997d305142ef182fcb21
invariant site removal	100	4	goalign 1 thread	22.00	1213080	4809037	3844	71a4ae61417b997d305142ef182fcb21
95 core	100	4	Core-SNP-Filter	0.07	2704	3844	3272	055cc1a61d617ccae2834dcd4c1da474
95 core	100	4	goalign 1 thread	0.02	16228	3844	3272	055cc1a61d617ccae2834dcd4c1da474
95 core	100	4	trimal	0.03	4448	3844	3272	e192d7b242d17c4c9fce3f774c70e21e
invariant site removal	180	4	Core-SNP-Filter	9.09	52960	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
invariant site removal	180	4	snp-sites	6.28	16172	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
invariant site removal	180	4	goalign 1 thread	37.60	1759180	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
95 core	180	4	Core-SNP-Filter	0.01	2764	6139	5168	e18ec7bc541fe6350691cd44073231b5
95 core	180	4	goalign 1 thread	0.04	22500	6139	5168	e18ec7bc541fe6350691cd44073231b5
95 core	180	4	trimal	0.08	7108	6139	5168	4248309c6d16906399e55771b99e8236
invariant site removal	320	4	Core-SNP-Filter	15.79	50644	4809037	8048	76654901e7c67f887513487295bf7e3a
invariant site removal	320	4	snp-sites	11.53	16756	4809037	8048	76654901e7c67f887513487295bf7e3a
invariant site removal	320	4	goalign 1 thread	74.51	2937176	4809037	8048	76654901e7c67f887513487295bf7e3a
95 core	320	4	Core-SNP-Filter	0.03	2784	8048	6688	b8b8d20dfbb15e31e18e630938e5bcb9
95 core	320	4	goalign 1 thread	0.11	26372	8048	6688	b8b8d20dfbb15e31e18e630938e5bcb9
95 core	320	4	trimal	0.20	10616	8048	6688	7c4d019b311f83a9b4d9293af401758a
invariant site removal	560	4	Core-SNP-Filter	27.26	50684	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
invariant site removal	560	4	snp-sites	19.83	20760	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
invariant site removal	560	4	goalign 1 thread	206.66	4654608	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
95 core	560	4	Core-SNP-Filter	0.09	2632	14655	13055	907bf509f0e0aaa8817ede8e54538031
95 core	560	4	goalign 1 thread	0.29	47296	14655	13055	907bf509f0e0aaa8817ede8e54538031
95 core	560	4	trimal	0.62	27384	14655	13055	4098ac228356b616467a9753e1030402
invariant site removal	1000	4	Core-SNP-Filter	48.55	50672	4809037	26123	116520f8d6297c405e49b72915620b20
invariant site removal	1000	4	snp-sites	37.29	42600	4809037	26123	116520f8d6297c405e49b72915620b20
invariant site removal	1000	4	goalign 1 thread	244.16	8571524	4809037	26123	116520f8d6297c405e49b72915620b20
95 core	1000	4	Core-SNP-Filter	0.30	2772	26123	23679	3f0ccd0908ec02052e35fb335bcb9ab8
95 core	1000	4	goalign 1 thread	1.00	165380	26123	23679	3f0ccd0908ec02052e35fb335bcb9ab8
95 core	1000	4	trimal	2.00	82032	26123	23679	ef5b537ec930a220415ed7bd60af28be
invariant site removal	1800	4	Core-SNP-Filter	87.27	52184	4809037	28785	bdefcb13ac59b22a276da2614ebe0b1d
invariant site removal	1800	4	snp-sites	65.08	69572	4809037	28785	bdefcb13ac59b22a276da2614ebe0b1d
invariant site removal	1800	4	goalign 1 thread	483.43	14633416	4809037	28785	bdefcb13ac59b22a276da2614ebe0b1d
95 core	1800	4	Core-SNP-Filter	0.56	2624	28785	26409	383dca7de100c82c895c2af15595db13
95 core	1800	4	goalign 1 thread	3.66	305648	28785	26409	383dca7de100c82c895c2af15595db13
95 core	1800	4	trimal	3.98	155680	28785	26409	0a6d74d18a27ad805b3314bd5700abd3
invariant site removal	3200	4	Core-SNP-Filter	155.85	51488	4809037	39768	9e7695cea5ba11409cbcadc2517b5c4e
invariant site removal	3200	4	snp-sites	109.65	146716	4809037	39768	9e7695cea5ba11409cbcadc2517b5c4e
invariant site removal	3200	4	goalign 1 thread	1420.27	25495716	4809037	39768	9e7695cea5ba11409cbcadc2517b5c4e
95 core	3200	4	Core-SNP-Filter	1.64	2956	39768	36646	43eeb222e0fa10d3310d5bbde923ab2c
95 core	3200	4	goalign 1 thread	10.51	589576	39768	36646	43eeb222e0fa10d3310d5bbde923ab2c
95 core	3200	4	trimal	10.56	409948	39768	36646	c65720a3ae9281d5dbe9f627e4b83329
invariant site removal	5600	4	Core-SNP-Filter	279.76	51748	4809037	53786	950810bd939d03607f7e68b99fe1b151
invariant site removal	5600	4	snp-sites	198.02	318144	4809037	53786	950810bd939d03607f7e68b99fe1b151
invariant site removal	5600	4	goalign 1 thread	3924.77	43559896	4809037	53786	950810bd939d03607f7e68b99fe1b151
95 core	5600	4	Core-SNP-Filter	4.67	3128	53786	50163	4508f91d1905c95bdac58cb70267f0bf
95 core	5600	4	goalign 1 thread	26.22	2018440	53786	50163	4508f91d1905c95bdac58cb70267f0bf
95 core	5600	4	trimal	26.07	903440	53786	50163	ccbe2e336e37aca797015bcab2bb7068
invariant site removal	10000	4	Core-SNP-Filter	510.17	51300	4809037	68963	c089e22a9751869f7814920c161d092e
invariant site removal	10000	4	snp-sites	355.57	709072	4809037	68963	c089e22a9751869f7814920c161d092e
invariant site removal	10000	4	goalign 1 thread	9393.91	77734440	4809037	68963	c089e22a9751869f7814920c161d092e
95 core	10000	4	Core-SNP-Filter	8.30	3216	68963	64995	98ec4e494f111bde5fd6b27373a1afe4
95 core	10000	4	goalign 1 thread	63.50	4228984	68963	64995	98ec4e494f111bde5fd6b27373a1afe4
95 core	10000	4	trimal	62.24	2268792	68963	64995	e6598ca75fdcf85d05b1acf4d03208e1
invariant site removal	10	5	Core-SNP-Filter	0.58	51288	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
invariant site removal	10	5	snp-sites	0.42	15928	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
invariant site removal	10	5	goalign 1 thread	4.80	361032	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
95 core	10	5	Core-SNP-Filter	0.00	2660	1082	954	438a7213be6818b479032ed27b0bbe8c
95 core	10	5	goalign 1 thread	0.00	11104	1082	954	438a7213be6818b479032ed27b0bbe8c
95 core	10	5	trimal	0.00	3720	1082	954	438a7213be6818b479032ed27b0bbe8c
invariant site removal	18	5	Core-SNP-Filter	0.97	53072	4809037	1698	3a202304311fa0297796d5c1c7f978f0
invariant site removal	18	5	snp-sites	0.62	16000	4809037	1698	3a202304311fa0297796d5c1c7f978f0
invariant site removal	18	5	goalign 1 thread	6.36	490528	4809037	1698	3a202304311fa0297796d5c1c7f978f0
95 core	18	5	Core-SNP-Filter	0.00	2552	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
95 core	18	5	goalign 1 thread	0.00	11352	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
95 core	18	5	trimal	0.00	3628	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
invariant site removal	32	5	Core-SNP-Filter	1.63	53032	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
invariant site removal	32	5	snp-sites	1.13	16156	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
invariant site removal	32	5	goalign 1 thread	9.25	632700	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
95 core	32	5	Core-SNP-Filter	0.00	2664	2568	2221	ce6f1ba08968cadde4e7f22853d5c490
95 core	32	5	goalign 1 thread	0.00	13220	2568	2221	ce6f1ba08968cadde4e7f22853d5c490
95 core	32	5	trimal	0.00	3992	2568	2221	79e0634f63c96258385d628fb6165944
invariant site removal	56	5	Core-SNP-Filter	2.80	54856	4809037	3095	d5be966dc42fa945c480722fc95a8b88
invariant site removal	56	5	snp-sites	2.06	16060	4809037	3095	d5be966dc42fa945c480722fc95a8b88
invariant site removal	56	5	goalign 1 thread	13.27	866904	4809037	3095	d5be966dc42fa945c480722fc95a8b88
95 core	56	5	Core-SNP-Filter	0.02	2628	3095	2517	f8a60d5af49d01f6ba41a5826393db06
95 core	56	5	goalign 1 thread	0.17	13240	3095	2517	f8a60d5af49d01f6ba41a5826393db06
95 core	56	5	trimal	0.01	4200	3095	2517	dd40d658cd86d95a3501f5d018b4b87a
invariant site removal	100	5	Core-SNP-Filter	4.92	52588	4809037	3844	71a4ae61417b997d305142ef182fcb21
invariant site removal	100	5	snp-sites	3.39	16336	4809037	3844	71a4ae61417b997d305142ef182fcb21
invariant site removal	100	5	goalign 1 thread	22.95	1221592	4809037	3844	71a4ae61417b997d305142ef182fcb21
95 core	100	5	Core-SNP-Filter	0.00	2636	3844	3272	055cc1a61d617ccae2834dcd4c1da474
95 core	100	5	goalign 1 thread	0.02	15572	3844	3272	055cc1a61d617ccae2834dcd4c1da474
95 core	100	5	trimal	0.03	4392	3844	3272	e192d7b242d17c4c9fce3f774c70e21e
invariant site removal	180	5	Core-SNP-Filter	8.85	52400	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
invariant site removal	180	5	snp-sites	6.16	18440	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
invariant site removal	180	5	goalign 1 thread	38.95	1747280	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
95 core	180	5	Core-SNP-Filter	0.08	2704	6139	5168	e18ec7bc541fe6350691cd44073231b5
95 core	180	5	goalign 1 thread	0.05	20568	6139	5168	e18ec7bc541fe6350691cd44073231b5
95 core	180	5	trimal	0.08	7188	6139	5168	4248309c6d16906399e55771b99e8236
invariant site removal	320	5	Core-SNP-Filter	15.51	51732	4809037	8048	76654901e7c67f887513487295bf7e3a
invariant site removal	320	5	snp-sites	11.42	17656	4809037	8048	76654901e7c67f887513487295bf7e3a
invariant site removal	320	5	goalign 1 thread	72.93	2885356	4809037	8048	76654901e7c67f887513487295bf7e3a
95 core	320	5	Core-SNP-Filter	0.03	2676	8048	6688	b8b8d20dfbb15e31e18e630938e5bcb9
95 core	320	5	goalign 1 thread	0.10	28600	8048	6688	b8b8d20dfbb15e31e18e630938e5bcb9
95 core	320	5	trimal	0.19	10696	8048	6688	7c4d019b311f83a9b4d9293af401758a
invariant site removal	560	5	Core-SNP-Filter	27.28	53180	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
invariant site removal	560	5	snp-sites	19.20	22976	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
invariant site removal	560	5	goalign 1 thread	136.95	4884496	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
95 core	560	5	Core-SNP-Filter	0.09	2640	14655	13055	907bf509f0e0aaa8817ede8e54538031
95 core	560	5	goalign 1 thread	0.29	60568	14655	13055	907bf509f0e0aaa8817ede8e54538031
95 core	560	5	trimal	0.62	27204	14655	13055	4098ac228356b616467a9753e1030402
invariant site removal	1000	5	Core-SNP-Filter	48.51	51592	4809037	26123	116520f8d6297c405e49b72915620b20
invariant site removal	1000	5	snp-sites	36.48	41808	4809037	26123	116520f8d6297c405e49b72915620b20
invariant site removal	1000	5	goalign 1 thread	249.47	8019768	4809037	26123	116520f8d6297c405e49b72915620b20
95 core	1000	5	Core-SNP-Filter	0.29	2684	26123	23679	3f0ccd0908ec02052e35fb335bcb9ab8
95 core	1000	5	goalign 1 thread	0.96	172032	26123	23679	3f0ccd0908ec02052e35fb335bcb9ab8
95 core	1000	5	trimal	2.02	82236	26123	23679	ef5b537ec930a220415ed7bd60af28be
invariant site removal	1800	5	Core-SNP-Filter	87.68	52292	4809037	28785	bdefcb13ac59b22a276da2614ebe0b1d
invariant site removal	1800	5	snp-sites	60.88	68776	4809037	28785	bdefcb13ac59b22a276da2614ebe0b1d
invariant site removal	1800	5	goalign 1 thread	867.35	14320276	4809037	28785	bdefcb13ac59b22a276da2614ebe0b1d
95 core	1800	5	Core-SNP-Filter	0.57	2716	28785	26409	383dca7de100c82c895c2af15595db13
95 core	1800	5	goalign 1 thread	3.57	313936	28785	26409	383dca7de100c82c895c2af15595db13
95 core	1800	5	trimal	3.94	155604	28785	26409	0a6d74d18a27ad805b3314bd5700abd3
invariant site removal	3200	5	Core-SNP-Filter	160.09	52568	4809037	39768	9e7695cea5ba11409cbcadc2517b5c4e
invariant site removal	3200	5	snp-sites	108.34	145364	4809037	39768	9e7695cea5ba11409cbcadc2517b5c4e
invariant site removal	3200	5	goalign 1 thread	1487.63	25444976	4809037	39768	9e7695cea5ba11409cbcadc2517b5c4e
95 core	3200	5	Core-SNP-Filter	1.41	3020	39768	36646	43eeb222e0fa10d3310d5bbde923ab2c
95 core	3200	5	goalign 1 thread	10.58	659484	39768	36646	43eeb222e0fa10d3310d5bbde923ab2c
95 core	3200	5	trimal	10.66	410088	39768	36646	c65720a3ae9281d5dbe9f627e4b83329
invariant site removal	5600	5	Core-SNP-Filter	331.46	52500	4809037	53786	950810bd939d03607f7e68b99fe1b151
invariant site removal	5600	5	snp-sites	190.56	321624	4809037	53786	950810bd939d03607f7e68b99fe1b151
invariant site removal	5600	5	goalign 1 thread	3865.91	46281660	4809037	53786	950810bd939d03607f7e68b99fe1b151
95 core	5600	5	Core-SNP-Filter	3.77	3020	53786	50163	4508f91d1905c95bdac58cb70267f0bf
95 core	5600	5	goalign 1 thread	26.55	2005052	53786	50163	4508f91d1905c95bdac58cb70267f0bf
95 core	5600	5	trimal	26.22	903552	53786	50163	ccbe2e336e37aca797015bcab2bb7068
invariant site removal	10000	5	Core-SNP-Filter	569.20	53088	4809037	68963	c089e22a9751869f7814920c161d092e
invariant site removal	10000	5	snp-sites	328.91	710396	4809037	68963	c089e22a9751869f7814920c161d092e
invariant site removal	10000	5	goalign 1 thread	8380.22	80146432	4809037	68963	c089e22a9751869f7814920c161d092e
95 core	10000	5	Core-SNP-Filter	7.68	3280	68963	64995	98ec4e494f111bde5fd6b27373a1afe4
95 core	10000	5	goalign 1 thread	59.05	4263628	68963	64995	98ec4e494f111bde5fd6b27373a1afe4
95 core	10000	5	trimal	61.77	2268780	68963	64995	e6598ca75fdcf85d05b1acf4d03208e1
invariant site removal	10	6	Core-SNP-Filter	0.57	51056	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
invariant site removal	10	6	snp-sites	0.37	16164	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
invariant site removal	10	6	goalign 1 thread	4.88	342132	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
95 core	10	6	Core-SNP-Filter	0.00	2636	1082	954	438a7213be6818b479032ed27b0bbe8c
95 core	10	6	goalign 1 thread	0.00	11108	1082	954	438a7213be6818b479032ed27b0bbe8c
95 core	10	6	trimal	0.03	3644	1082	954	438a7213be6818b479032ed27b0bbe8c
